,Date,MPO,Municipality,VehicleUse,FuelClass,AdvancedVehicleType,VehicleType,VehicleAge,GVWRCategory,Count,DailyVMT
2319,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Anonymous,5-10 Years,Light Duty,3,21.093177
3891,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Anonymous,2-5 Years,Light Duty,4,15.056118
26039,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Anonymous,New,Medium Duty,3,112.768512
52089,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,5-10 Years,Unknown,324,8133.996264
116151,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,5-10 Years,Light Duty,81,2538.085072
131449,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,10 Years +,Unknown,17,400.491016
163953,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,1 Year,Unknown,1535,63337.086792
250216,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,2-5 Years,Unknown,1211,48556.3402
252685,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Anonymous,1 Year,Light Duty,1,20.384
255710,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,New,Light Duty,1256,47154.612456
256665,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,1 Year,Light Duty,1655,60897.447656
325626,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,2-5 Years,Light Duty,959,28718.728688
343016,2024-07-01,Boston Region,BOSTON,Passenger,Zero-Emission,Electric Vehicle,Passenger,New,Unknown,169,6311.468664
